StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 21:59,7/9/14 22:02,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 21:53,7/9/14 21:54,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 21:53,7/9/14 21:53,Married,11-15 years,Every night,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 21:52,7/9/14 22:03,Married,6-10 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",,Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 21:51,7/9/14 21:54,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Architecture and Engineering Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 21:43,7/9/14 21:44,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,,Bachelor degree,Pacific
7/9/14 21:40,7/9/14 21:40,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 21:35,7/9/14 21:36,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,,Male,45-60,,Graduate degree,East North Central
7/9/14 21:34,7/9/14 21:35,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,,High school degree,West South Central
7/9/14 21:32,7/9/14 21:34,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific
